step,rewards,qf_loss,actor_loss,observations,action
79106,[-5934.6953],1.9635322740405174e+19,-9349088256.0,[0.         3.14159265 0.         0.        ],[-100.]
80106,[-5934.3247],2.510750634993936e+19,-9784496128.0,[0.         3.14159265 0.         0.        ],[-100.]
81106,[-5934.691],2.179612257372917e+19,-10343488512.0,[0.         3.14159265 0.         0.        ],[-100.]
82106,[-5934.6094],2.9415918474123805e+19,-10986379264.0,[0.         3.14159265 0.         0.        ],[-100.]
83106,[-5924.343],3.6623617416427995e+19,-11535856640.0,[0.         3.14159265 0.         0.        ],[-100.]
84106,[-5934.691],3.3362699024909468e+19,-12087229440.0,[0.         3.14159265 0.         0.        ],[-100.]
85106,[-5933.59],3.997479031942414e+19,-12797552640.0,[0.         3.14159265 0.         0.        ],[-100.]
86106,[-5934.6504],4.5596131477359165e+19,-13439759360.0,[0.         3.14159265 0.         0.        ],[-100.]
87106,[-5934.692],3.7619570442030285e+19,-14135965696.0,[0.         3.14159265 0.         0.        ],[-100.]
88106,[-5934.692],4.584743145695714e+19,-14917718016.0,[0.         3.14159265 0.         0.        ],[-100.]
89106,[-5934.6895],5.692486597126547e+19,-15558834176.0,[0.         3.14159265 0.         0.        ],[-100.]
90106,[-5934.696],5.944396585775609e+19,-16382231552.0,[0.         3.14159265 0.         0.        ],[-100.]
91106,[-5924.825],6.953074039543824e+19,-17236682752.0,[0.         3.14159265 0.         0.        ],[-100.]
92106,[-5934.6777],6.712118705144621e+19,-17975095296.0,[0.         3.14159265 0.         0.        ],[-100.]
93106,[-5934.6294],9.107717487361576e+19,-18765631488.0,[0.         3.14159265 0.         0.        ],[-100.]
94106,[-5934.6074],8.609548999830222e+19,-19713593344.0,[0.         3.14159265 0.         0.        ],[-100.]
95106,[-5934.694],9.810869247073164e+19,-20479457280.0,[0.         3.14159265 0.         0.        ],[-100.]
96106,[-5934.4277],9.88707683779897e+19,-21458491392.0,[0.         3.14159265 0.         0.        ],[-100.]
97106,[-5934.696],9.524858125190955e+19,-22417104896.0,[0.         3.14159265 0.         0.        ],[-100.]
98106,[-5934.6416],1.3267315990382353e+20,-23473188864.0,[0.         3.14159265 0.         0.        ],[-100.]
99106,[-5934.696],1.2418826385664822e+20,-24262567936.0,[0.         3.14159265 0.         0.        ],[-100.]
25731,[-5408.7393],3.818436053811184e+20,-26742075392.0,[0.         3.14159265 0.         0.        ],[100.]
27031,[-5408.742],4.067710645029862e+20,-28467103744.0,[0.         3.14159265 0.         0.        ],[100.]
28331,[-5433.415],4.765122250357017e+20,-29881552896.0,[0.         3.14159265 0.         0.        ],[100.]
29631,[-5409.0337],4.887763712459617e+20,-31489818624.0,[0.         3.14159265 0.         0.        ],[100.]
30931,[-5408.7393],4.630606766361878e+20,-33249456128.0,[0.         3.14159265 0.         0.        ],[100.]
32231,[-5408.7393],5.917173997285828e+20,-34605047808.0,[0.         3.14159265 0.         0.        ],[100.]
